projectName,status,possessionDate,fullAddress,pincode,type,carpetArea,price,bathrooms,balcony,listingType,furnishedType,projectCategory,projectType,propertyCategory,landmark,cityId,localityId,subLocalityId,propertyImages,floorPlanImage
Ashwini,UNDER_CONSTRUCTION,2025-09-28 00:00:00,Mumbai chembur,411017,1BHK,123.0,11111111,1,1.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Babys school,cmf6nu3ru000gvcxspxarll3v,cmf6pksk30035vcxs7r2mo3iq,cmfdkuymm0001vc90iiyzkr8d,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-1e5179453b5df91d.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757584023815-67012c27580e3e23.jpg
Ashwini,UNDER_CONSTRUCTION,2025-09-28 00:00:00,Mumbai chembur,411017,2BHK,456.0,22222222,0,2.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Babys school,cmf6nu3ru000gvcxspxarll3v,cmf6pksk30035vcxs7r2mo3iq,cmfdkuymm0001vc90iiyzkr8d,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-7c8c73119cb2047b.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-419924a4c5c28823.jpg
Pristine02,READY_TO_MOVE,,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,2BHK,972.0,120000000,12,3.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Sai nagar ,cmf6nu3ru000gvcxspxarll3v,cmf6pk0cn0033vcxshxbf5hdh,cmfdn705v001pvc90uyle9m34,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238541-c8a6e3aced460e18.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238520-ba6c9c4021ea321f.jpg
Pristine02,READY_TO_MOVE,,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,2BHK,188.73,210000000,3,2.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Sai nagar ,cmf6nu3ru000gvcxspxarll3v,cmf6pk0cn0033vcxshxbf5hdh,cmfdn705v001pvc90uyle9m34,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-bd3d1a40c2d7fadb.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-2d39a8b06669406b.jpg
Gurukripa,UNDER_CONSTRUCTION,,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,1BHK,426.57,13000000,1,1.0,Sell,UNFURNISHED,COMPLEX,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391106-7c383f81d9c66290.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391101-b4e4be9945434d29.jpg
Gurukripa,UNDER_CONSTRUCTION,,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,1BHK,460.8,15000000,1,1.0,Sell,UNFURNISHED,COMPLEX,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391150-9b806803ceb0c8b6.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391141-e6c14becbdbd76a2.jpg
Gurukripa,UNDER_CONSTRUCTION,,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,3BHK,893.08,29000000,3,2.0,Sell,UNFURNISHED,COMPLEX,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391167-19d3844213de86cb.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391158-41329b8304cff17d.jpg
Gurukripa,UNDER_CONSTRUCTION,,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,3BHK,918.27,29000000,3,2.0,Sell,UNFURNISHED,COMPLEX,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391188-7b25319224e8a812.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391179-7f2bff943c2805a5.jpg
Gurukripa,UNDER_CONSTRUCTION,,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,2BHK,804.6,26000000,2,2.0,Sell,UNFURNISHED,COMPLEX,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391202-e4d28b891dcb832f.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391195-0e9c4aa442f80776.jpg
Gurukripa,UNDER_CONSTRUCTION,,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,2BHK,1036.67,33000000,2,2.0,Sell,UNFURNISHED,COMPLEX,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391218-4ca8b878a42de5ae.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391210-70f3ad7351a09d4c.jpg
Hari om,UNDER_CONSTRUCTION,,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,1BHK,443.37,13000000,1,1.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmfcec5ph007ivca007lzj3b3,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-dbde48f7805f3bd0.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645437-975f7a8ecca1de6d.jpg
Hari om,UNDER_CONSTRUCTION,,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,2BHK,644.11,19000000,2,2.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmfcec5ph007ivca007lzj3b3,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645449-b2f826d061804b98.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-970dda42c441c73b.jpg
Hari om,UNDER_CONSTRUCTION,,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,3BHK,798.57,23000000,3,2.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Sindhi Society,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmfcec5ph007ivca007lzj3b3,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645451-d9b3e0a968cfc871.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645450-abde5eb3211c0467.jpg
Om makarand heights,UNDER_CONSTRUCTION,2025-09-21 00:00:00,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,1BHK,379.0,850000,1,1.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Hind high school,cmf50r5a00000vcj0k1iuocuu,cmf6oxndf0021vcxsvog0r7bk,cmfcewd9m007svca0b4pla35a,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712591-aa79bad30786e10c.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712590-57c98e762d3e95c3.jpg
Om makarand heights,UNDER_CONSTRUCTION,2025-09-21 00:00:00,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,1BHK,354.0,790000,1,1.0,Sell,UNFURNISHED,STANDALONE,RESIDENTIAL,RESIDENTIAL,Hind high school,cmf50r5a00000vcj0k1iuocuu,cmf6oxndf0021vcxsvog0r7bk,cmfcewd9m007svca0b4pla35a,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712594-cd33c56e7db9cd37.jpg""]",https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712593-25cd2d9a5765be22.jpg
